2019-04-09 11:09:32,055 | DEBUG | DefaultCamelContext.java 499 | Using ComponentResolver: org.apache.camel.impl.DefaultComponentResolver@3a3e4aff to resolve component with name: file
2019-04-09 11:09:32,055 | DEBUG | ResolverHelper.java 143 | Lookup Component with name file in registry. Found: null
2019-04-09 11:09:32,055 | DEBUG | ResolverHelper.java 143 | Lookup Component with name file-component in registry. Found: null
2019-04-09 11:09:32,057 | DEBUG | DefaultComponentResolver.java 68 | Found component: file via type: org.apache.camel.component.file.FileComponent via: META-INF/services/org/apache/camel/component/file
2019-04-09 11:09:32,063 | DEBUG | DefaultManagementAgent.java 472 | Registered MBean with ObjectName: org.apache.camel:context=camel-1,type=components,name="file"
2019-04-09 11:09:32,063 | DEBUG | DefaultComponent.java 266 | Cannot resolve property placeholders on component: org.apache.camel.component.file.FileComponent@68b6f0d6 as PropertiesComponent is not in use
2019-04-09 11:09:32,064 | DEBUG | DefaultComponent.java 124 | Creating endpoint uri=[file://data/output?fileName=message.txt], path=[data/output]
2019-04-09 11:09:32,073 | DEBUG | ResolverHelper.java 143 | Lookup Language with name constant in registry. Found: null
2019-04-09 11:09:32,073 | DEBUG | ResolverHelper.java 143 | Lookup Language with name constant-language in registry. Found: null
2019-04-09 11:09:32,077 | DEBUG | DefaultCamelContext.java 710 | file://data/output?fileName=message.txt converted to endpoint: file://data/output?fileName=message.txt by component: org.apache.camel.component.file.FileComponent@68b6f0d6
2019-04-09 11:09:32,078 | DEBUG | DefaultManagementAgent.java 472 | Registered MBean with ObjectName: org.apache.camel:context=camel-1,type=endpoints,name="file://data/output\?fileName=message.txt"
2019-04-09 11:09:32,081 | DEBUG | DefaultChannel.java 203 | Initialize channel for target: 'To[file:data/output?fileName=message.txt]'
2019-04-09 11:09:32,086 | DEBUG | DefaultManagementAgent.java 472 | Registered MBean with ObjectName: org.apache.camel:context=camel-1,type=tracer,name=BacklogTracer
2019-04-09 11:09:32,095 | DEBUG | DefaultManagementAgent.java 472 | Registered MBean with ObjectName: org.apache.camel:context=camel-1,type=tracer,name=BacklogDebugger
2019-04-09 11:09:32,112 | DEBUG | DefaultManagementAgent.java 472 | Registered MBean with ObjectName: org.apache.camel:context=camel-1,type=errorhandlers,name="DefaultErrorHandlerBuilder(ref:CamelDefaultErrorHandlerBuilder)"
2019-04-09 11:09:32,119 | INFO | DefaultCamelContext.java 3465 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2019-04-09 11:09:32,123 | DEBUG | HeadersMapFactoryResolver.java 63 | Creating default HeadersMapFactory
2019-04-09 11:09:32,124 | DEBUG | DefaultCamelContext.java 3478 | Using HeadersMapFactory: org.apache.camel.impl.DefaultHeadersMapFactory@7c351808
2019-04-09 11:09:32,125 | DEBUG | DefaultCamelContext.java 3952 | Warming up route id: route1 having autoStartup=true
2019-04-09 11:09:32,126 | DEBUG | RouteService.java 168 | Starting services on route: route1
2019-04-09 11:09:32,165 | DEBUG | JmsEndpoint.java 190 | Using destinationName: JMS.SAMPLE.REQ on listenerContainer: org.apache.camel.component.jms.DefaultJmsMessageListenerContainer@32cb636e
2019-04-09 11:09:32,172 | DEBUG | DefaultManagementAgent.java 472 | Registered MBean with ObjectName: org.apache.camel:context=camel-1,type=threadpools,name="JmsConsumer(0x2f94c4db)"
